REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14HAB,AC_WIDTH,AC_HEIGHT,SPRAG14RCH,ACW,ACH,MaskWidth
19566,29.08286,32.8906,501,0,0,7,5.5,0.4,0
19567,30.81383,32.8811,502,0,0,7,5.5,0.4,0
19568,29.35175,32.8545,503,0,0,7,5.5,0.4,0
19569,30.80244,32.8376,505,0,0,7,5.5,0.4,0
19570,30.98237,32.8203,506,4.5,0.3,7,5.5,0.4,0
19571,29.34352,32.8015,507,0,0,7,5.5,0.4,0
19572,30.80321,32.7921,507,0,0,7,5.5,0.4,0
19573,30.20847,32.7716,507,0,0,7,5.5,0.4,0
19574,29.42204,32.761,507,0,0,7,5.5,0.4,0
19575,29.03821,32.7504,509,0,0,7,5.5,0.4,0
19576,30.02589,32.7162,510,0,0,7,5.5,0.4,0
19577,30.37937,32.6703,510,0,0,7,5.5,0.4,0
19578,31.0023,32.6371,510,0,0,7,5.5,0.4,0
19579,30.45645,32.6138,512,0,0,7,5.5,0.4,0
19580,28.86644,32.6032,512,0,0,7,5.5,0.4,0
19581,30.68654,32.5941,512,0,0,7,5.5,0.4,0
19582,30.3181,32.5779,514,0,0,7,5.5,0.4,0
19583,30.85657,32.5543,515,0,0,7,5.5,0.4,0
19584,30.40088,32.536,516,4.5,0.5,7,5.5,0.4,0
19585,29.65529,32.5209,517,0,0,7,5.5,0.4,0
19586,30.53403,32.4758,518,0,0,7,5.5,0.4,0
19587,30.33947,32.4689,518,0,0,7,5.5,0.4,0
19588,29.91802,32.4432,518,0,0,7,5.5,0.4,0
19589,29.59956,32.4079,518,0,0,7,5.5,0.4,0
19590,29.71895,32.3789,518,0,0,7,5.5,0.4,0
19591,31.0755,32.2855,518,0,0,7,5.5,0.4,0
19592,29.90043,32.2735,520,0,0,7,5.5,0.4,0
19593,29.35759,32.2623,521,0,0,7,5.5,0.4,0
19594,29.08461,32.2509,522,0,0,7,5.5,0.4,0
19595,30.73674,32.2416,523,0,0,7,5.5,0.4,0
19596,30.80046,32.2234,523,0,0,7,5.5,0.4,0
